Monthnum,Month,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
1,JAN,"197,836","167,814","156,106","157,772","150,606","122,790","123,319","111,328","104,071","125,819","135,389","113,786","99,838","101,002","77,502","94,419","103,761","119,578","110,025","77,912","178,684","69,486","85,616","68,913","97,566","78,278","122,402","80,677","71,352","86,014","76,234","83,840","67,584","173,451","158,424","144,417","203,978","146,886","133,674"
2,FEB,"169,822","164,194","151,778","157,000","147,131","117,846","117,755","106,127","106,169","112,535","127,203","113,477","108,732","108,509","85,436","108,509","114,919","126,741","126,262","116,589","146,059","99,752","96,400","97,541","96,592","87,573","149,740","89,951","86,369","76,640","69,090","83,275","76,428","163,320","157,046","172,170","200,062","135,725","93,057"
3,MAR,"165,607","145,909","145,077","140,499","139,222","117,042","115,353","106,614","106,949","112,830","111,108","134,364","119,045","101,660","80,336","102,831","113,721","118,156","111,320","102,986","135,815","89,430","94,231","83,410","99,055","67,447","76,380","72,818","70,488","74,370","88,472","65,950","68,810","142,507","181,010","172,152","125,536","127,277","108,100"
4,APR,"151,049","129,986","140,357","127,184","124,963","103,413","87,252","98,318","98,328","74,183","113,100","128,815","97,255","96,799","72,984","98,860","99,261","107,182","102,002","102,175","133,571","90,015","92,429","90,993","64,796","109,658","101,923","93,224","86,696","79,722","59,680","76,025","81,382","184,180","155,835","241,748","140,680","128,456","118,288"
5,MAY,"155,710","138,100","169,435","123,662","117,469","111,466","94,486","105,848","93,725","102,657","113,226","148,039","124,291","126,179","107,521","106,162","109,766","106,080","127,244","116,707","151,562","104,093","99,119","93,632","98,767","87,342","90,738","89,948","86,994","76,530","65,328","72,109","59,264","180,700","176,620","163,934","163,947","134,571","128,869"
6,JUN,"180,135","165,905","170,792","146,570","137,853","115,099","120,834","115,885","113,992","109,068","130,087","204,521","80,464","89,405","72,394","71,721","129,265","143,988","132,476","127,353","162,451","111,955","118,445","111,332","111,636","107,784","106,745","98,772","87,285","85,250","84,625","76,559","64,642","172,446","246,245","162,018","158,268","172,270","92,599"
7,JUL,"201,554","182,278","178,630","163,849","160,617","143,777","136,365","129,048","120,705","125,588","151,606","162,344","136,564","129,173","109,912","109,165","135,219","163,847","154,489","151,964","194,405","129,110","121,371","123,523","117,227","103,023","134,600","105,420","108,031","99,982","105,611","93,072","83,543","203,660","201,278","160,212","197,894","126,035","175,806"
8,AUG,"183,307","180,413","164,216","151,578","137,614","141,101","129,456","112,397","111,729","119,564","136,842","164,330","211,615","135,914","118,371","117,591","149,818","170,420","160,529","145,814","189,292","141,610","130,693","135,088","127,634","123,754","132,665","115,689","132,519","108,333","105,883","86,888","50,864","197,547","258,156","171,327","173,408","112,619","218,713"
9,SEP,"141,377","126,474","126,494","121,950","121,625","106,287","97,609","97,509","89,659","85,911","99,929","110,435","181,520","113,402","107,430","64,234","88,540","96,538","110,638","82,589","92,022","92,436","87,302","83,385","76,641","77,508","75,896","92,681","89,609","85,976","107,156","58,099","80,569","133,460","232,837","185,454","203,737","168,591","166,843"
10,OCT,"147,225","146,883","133,769","121,337","69,872","127,814","99,271","95,689","84,031","103,255","107,178","112,685","167,435","117,519","106,773","91,907","113,872","174,848","156,929","132,304","234,611","94,780","89,931","88,336","84,872","91,342","82,181","80,551","74,351","71,449","79,580","63,777","64,584","162,888","122,698","151,852","136,572","127,461","155,487"
11,NOV,"149,202","162,033","136,135","131,262","131,877","138,699","117,713","112,732","95,842","98,361","121,106","104,488","207,796","105,980","101,687","83,315","102,092","113,810","116,909","116,655","120,985","112,657","106,741","106,892","89,305","128,278","90,770","80,579","86,720","78,639","88,324","65,314","66,745","162,619","184,322","131,876","103,393","129,684","131,957"
12,DEC,"173,878","177,591","159,871","150,342","144,360","138,594","112,710","113,172","107,905","100,767","121,005","114,962","126,641","81,849","82,178","62,284","83,052","73,448","94,032","79,325","92,630","96,233","52,750","91,244","79,650","89,674","74,613","96,506","75,774","60,102","76,075","73,115","52,237","131,830","173,503","138,237","124,377","182,763","109,196"
